Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Homicide & related offences (01),Number,5
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Murder (0111),Number,3
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Manslaughter (0112),Number,1
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Dangerous driving leading to death (012),Number,1
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Sexual offences (02),Number,287
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Rape and sexual assault (021),Number,253
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Other sexual offences (022),Number,34
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1806
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Threat to kill or cause serious harm (0313),Number,135
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Harassment and related offences (033),Number,123
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Assault causing harm, poisoning (034)",Number,481
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Other assault (035),Number,1067
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Dangerous or negligent acts (04),Number,1556
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm (0411),Number,6
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,401
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,280
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,121
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Dangerous/careless driving and motorway offences (0414),Number,274
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Speeding (0415),Number,797
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death (0421),Number,31
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty (0422)",Number,26
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities (0424),Number,4
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Endangering traffic offences (0425),Number,17
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Kidnapping and related offences (05),Number,15
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,False imprisonment (0511),Number,10
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Abduction of person under 16 years of age (0512),Number,3
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Human trafficking offences (0513),Number,2
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences (06)",Number,344
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Robbery of an establishment or institution (0611),Number,83
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Robbery from the person (0613),Number,187
